code;nom;credits;nomDomaine;respoDomaine
LinAlg0;Trigonometrie et géometrie dans l’espace 3D;1;Algèbre linéaire;1
LinAlg1;Th. des groupes, espaces vectoriels, app. Linéaires;2;Algèbre linéaire;1
LinAlg2;Algèbre Linéaire – approfondissement;3;Algèbre linéaire;1
Ana0;Analyse (suites et fonctions de variables réelles en dimension 1);1;Analyse mathématique;3
Ana1;Analyse (suites et fonctions de variables réelles en dimension n);2;Analyse mathématique;3
Ana2;Equation différentielles ordinaires;3;Analyse mathématique;3
Ana3;Résolution analytiques des EDP;3;Analyse mathématique;3
Ana4;Analyse fonctionnel;4;Analyse mathématique;3
Control1;Théorie de contrôle;3;Contrôle et automatique;7
Control2;Système dynamiques, théorie de contrôle;3;Contrôle et automatique;7
Control3;Système dynamiques, théorie du chaos;4;Contrôle et automatique;7
Topo0;Initiation à la topologie (générale et algébrique);2;Topologie;9
Topo1;Topologie géometrique;3;Topologie;9
Topo2;Topologie – approfondissement;4;Topologie;9
Proba0;Initiation à la probablité (discrète);1;Probabilités et statistiques;11
Proba1;Probabilité discrète et continue, var aléatoires, loi des grandes nombres;2;Probabilités et statistiques;11
Proba2;Processus stochastiques;3;Probabilités et statistiques;11
Mesure0;Théorie des ensembles;1;Théorie de la mesure;13
Mesure1;Théorie de la mesure;3;Théorie de la mesure;13
Comb0;Initiation à l’analyse combinatoire (graphes, etc);2;Combinatoires;15
Comb1;Combinatoires avancées;3;Combinatoires;15
Comb2;Optimisation combinatoire;4;Combinatoires;15
Logic0;Logique, initation à la métamathématique, la méthode scientifique;2;Logique;19
Logic1;Logique mathématique avancé;3;Logique;19
Logic2;Logique mathématique avancé – approfondissement;5;Logique;19
Logic3;Programmation logique;3;Logique;19
Fourier1;La famille de transformations de fourier;3;Analyse de fourier;23
Fourier2;Approfondissement dans l’analyse de fourier;4;Analyse de fourier;23
Complex0;Les nombres complexes - applications géometriques;1;Analyse complexe;23
Complex1;Analyse complexe;3;Analyse complexe;23
Complex2;Analyse complexe – approfondissement;4;Analyse complexe;23
Signal1;Analyse de signal – théorie et application;3;Traitement de signal;27
Signal2;Signal aléatoire, filtrage, etc;3;Traitement de signal;27
